labels	text
1	heey, gueess wat. i had my baby! it is a girl. her name is sky anna cullen!
1	the only theme is &quot;wow, is surrounded by pink.&quot;
0	but i am only 16
1	gonna design a new banner for my myspace today in photoshop.i am super stoked
0	you ok! mom says u aren not give me a call if u need to
1	morning exercise continues! today, will be a bike ride to albany. even if i am exhausted
0	emily, you shall be missed those weeks you are away. have fun for all of us who can not be in chicago with you.
0	misses my kitty, my heart hurts. rip tatjana, june 1996 - may 2009
0	enjoyed angel is game, even though they lost
1	i am flyyyyyying guys! just flying as high as a kite especially with all the good news, like a job and more weed! xd
1	it is time to try to enjoy my weekend ttyl! ^^
0	16 blocks is on now.feel like im watching too much tv
0	neither do i haha i wanna check it out, though. for the sake of seeing him be a main host after singled out, at least.
0	i want to run 3.0! i can not though until the jailbreak is released.
0	i don not think i am starting til next monday, but i will let you know, i will probably never work long enough to require lunchies
0	i really don not feel like going out shopping today given i have cold pizza to eat, but i have to as i need to find an atm
1	slept in today (sleeping in means 7:50 am haha)
1	looking forward to the photography lunch at 11:30
1	thank you so much for the bear love it
0	&quot;i will see you on the other side.when i close my eyes.and i reach the light&quot; ♫
0	got any coffee! i ran out again.
1	sometimes its good to go inactive. it clears the mind. eliminates the stragglers. the ones who really care about your ideas stick around.
0	no word on the car!
1	e! the guy that owns it is great. hope it all goes well if you do decide on them!
0	it was my laptop that is the prob, not my internet it refuses to detect the network+ i can not fix it!
0	diet cokes in lab coke machine just went from $1.25 to $2.00.
1	is wtaching hotel for dogs and eating dinner; yummy
0	i am so sad i can not watch!
1	yes maam we are. i ing to ny on july 18th! where r you gonna be! i need an around da way girl!
1	just watched their wedding video and is soooooo happy!
1	yesterday started with a fashion show - w/ jen, kate, and kachy! then we had a delicious meal at chelsea!
1	beer pong teams: elliots mom, andrews mom, holly and i. against elliot, andrew, george and john. guess who won! the girls!
1	all we are saying is give peace a chance
1	so tired. need to get some rest for tomorrow!
0	well my target weight is 125, but i am way off.
1	- ohhhh nice
0	no go on the soccer maybe next week!
0	i am and now all of your followers know i am. fml.
0	doctor who (including david tennant!) will be ic-con! same time as the #smallville panel #doctorwho
1	now everyone go follow
0	wow that´s really sad
1	thằng nó khen điệp mà, chứ có khen đẹp đâu !
1	where are you from originally laura! i would love to move to california someday.
0	i am sooo out of practice for writing episode tags! got a feeling this is seriously going to suck.
1	wonder if zac will make sandwiches again.he is a shoo-in for employee of the year. #chuck
0	i am sad that you are gone
0	3am, and still crunching numbers for tomorrow is meeting, looks like the axe is going to have e out. i hate fireing people.
1	breakfast on the beach. just can not beat it
0	i really hate how my pare me to their friend is kids
0	who judging your body.!
0	you know when you are bored, but you can not be arsed to do anything! i am irritable, have no energy and a sore throat. yeah im gettin ill
1	i had pizza for dinner and it was very good
1	the arc de triomphe to notre dame! walking! you are a bit crazy haha. but im sure it was interesting
0	should i record atutorial! hm. i think i shall because i never got that call i dunno why i got my hopes up.
0	too many friday lollies
0	i am successfull. and she supports me. stoopid drunk. hahhahahaa. still hurtin bc tuwana isn not allycia.
0	it is. its probly 16 a head, gay huh! reg tix @ the block was 11.50, bella terra 10.75. i encourage bootlegs
0	nothingg is on telly till 10
0	y did i take dat nap earlier cant go 2 sleep 4 shit!
0	they are playing 'i love rock n roll' .sadness.it makes me miss byanca
0	too much wiiiine
1	#postdigital event is being filmed on a flip camera! expensive cameras need not apply!
0	in sidi ifni. agadir was amazing. pretty badly sunburned
1	chillin' in mon with red &amp; jes
1	i wanna see miley and metro station!
0	had a great time seeing both of you! gosh. hope you guys could have stayed longer.
0	done that dash ourselves - only in a car, and to 'the bosuns chair' to watch everton in a live tv game! - only a draw
1	thanks! i appreicate that. it is like good medicine. your good vibes sent my way.
1	aww you are the sweetest! ilysm! &lt;3
0	oh no i hope you are ok, what did you eat! &lt;3333
1	my boss actually pays me the whole berlin trip. what a nice surprise
1	my spanish is quite rusty, but i could watch latv all day. and the wanda sykespublic service advert for know what you say is fabulous!
0	sittin here eatin strawberries bored as hell
1	good mor/afternoon to u too sir!
1	is surfin'.
1	babe + garlic bread + iced honey = yummy
0	sorry abt that, there is somethin wrong wit my keypads meant to say thank you for the tip.
1	oh snap! i have been &quot;published&quot;! check it out as you join me for the service
0	its storming i don not like this
0	wondering if i will get offered cheese and crackers or fresh fruit today. not very likely
0	anyone wanna hang tonight! i am house bound.
1	&quot;writing&quot; is code name for making out
1	hey what are you up to this fine first day of the week!
0	i am so sorry for your loss. remember though he would have wanted you to take care of yourself. don not neglect you.
1	good. it would have been reallllly inconvenient if we would both wanted e back as the same middleaged british actress. awk-ward.
0	noooooo reeeeeeeely dont want to go to skool the morra
0	good morning guys.just got off the phone with daddy,i miss him ugh,so much shit going on.i dont know what to do.
0	gym. leg day awaits. once again i am glad it is monday so i get a break from our non-stop week-end schedule. last week of school
0	i fill kind of sad but oh well going to sleep now
0	cats are not popular around these parts. especially the neighbors' cats who think my vegetable beds are their toilets.
1	aloe vera gel from the fridge is the best. make sure you drink enough water
1	hii jared i just wanted to ask i no you have gotton asked this question heaps but did you like australia! come to melb
0	i will pass on your offer mark.
0	ugh! that is stupid! sorry they feel it is too much of a burden hope you can find something
0	i still buy tons of stuff on cd every year; emusic was my way of getting lots of indie/undie stuff. now i get less of that.
1	:tehe: brendon is 22, and shane is 29 omg i knew that off the top of my head. /stalker.
1	starting off the day in a mellow mood.listening to pink martini and wrapping soaps. even drinking a nice light roasted coffee.
0	apologies for silence - twitterberry playing up
0	should play cricket today . . almost after an year
0	damn you dani
1	chocolate milk and subway. mmm
1	i think mo actually got a 5th place finish
0	you mispelled my twitter name
1	thanks for the follow, we have returned the favor
0	&amp; some of them said joe is single ladies dance was gross.
1	hello world! we are having thunderstorms here, hoe pretty!
1	aw he is cute and has a gorgeous shine on his hair too
1	went shopping. then masjid. now hanging with mehreen
0	overslept! now it promises to be a hectic day
0	i am sure it is hard. and that they miss you too.
0	at an art gallery panel discussion but cant hear anything
1	u can have my place but let is not swap. i wanna live in southampton, england
0	do not want to do chem revision. es muy aburrido but that is a bit of spanish revision right there
0	just woke up,grey goose morning breath
1	lovely sitting in front of you at #ims09 - you are a good neighbor.
1	well. we shall continue then. #freeprita
1	well done on the assignment grade!
0	ai now why does he say that!
0	i broke my mobile charger last night
1	lets make some music.\~m~/
1	thank you for following me, i love you
0	this is healthy shan, i just thought she was on holiday. but i have been blocked too
0	oh &amp; my hustler shirt finally came in ! yay ! but damn it is windy k.nighthustlers&lt;3
1	solved her headache with some good soup from panera
1	my cousin irfan, imran is brother got married today! ni kat rumah die la ni
0	uh my knees are so achey
1	i have always heard that if it is too loud, you are too old.
1	haha hope so! i am forward to it!
1	betsy johnson and juicy couture! oh how i love material things
1	man, i never slept! still playing #spymaster.
1	happy birthday sweetheart and i hope you have a wonderful day/night xoxo
1	good morning twit, 5 days left of my vacation, time passes just as quickly. :
1	finally hung out with other vegas juggalos. fun night!
1	hey great to your home
0	low atm, i agree with sometimes you just need someone to understand. &lt;/3
0	hiya! exhausted but great event. miss the family talk to you soon!
1	- compare the merekat
0	dang. the lyrics in the fray is how to save a life are eerily perfect.
1	hey! i am good thankyou, you! i am following for you laura posted about it are you going to the rochester gig!
0	fuck man a month and twenty eight days. e fast enough. and cheerleadings over idk what to do with myself. emotional wreck.
0	not as much as i could be. at work finish mon for a week though what you been up to!
1	cammy b should be a gay emo
0	the blackers is just too strong in flavour mr b won not be thrilled hehehe
0	computer virus ruined my week
1	i am watching yes man with my bro and his girlfriend
0	&gt;turn terrible 2. she is throwing the most atrocious tantrums. i can not wait to get out the house!
0	sorry about the broken link earlier folks
1	i am off to watch a movie all you lovely people.don not know what i woulde do without y'all to entertain me.
1	that sucks : / haha that is what i can not wait to say about german. next tuesday afternoon i am forever done with german
1	getting drunkkkkkkkkkkkk lol get service then haha
1	its not good lol but i love them both loads lol
1	i knooow - we were really hoping you could join - ah well, next time for sure little t was having a great time lol
0	to get to paypal from bank, and i dont need to bid i can just buy straight away its not fair
0	gah! i am almost 20 i feel old when i see little kids walking and talking. i remember a time before they were born!
0	ow well you got exammies! xx
1	. hehe.well u don not, but we think that u are. haha. so x bole ckp pape. =p n yes it looks good on u. btw,amirul accident.
1	rubicon was a river - to cross it was act of war. what is the horse part! ok, so i am not smart.
1	square. to thanks btw: u should put witelrsstoronto.ca as the ssid
0	i didn not get to go.had to work as they wouldn not give me the time off. apparently i didn not miss much though!
0	so nice to be able to sleep in a bit, but gotta get up now
0	i love spending money. wish i had more to spend
0	.don not wanna do much of anything today.just not up for it.somethings off
1	everything looks different today, something about how the light refracts off of the sky
1	congrats, ! i will bring bottles-let me know when
0	i am so sorry i never caught that you asked me a question! not online nearly enough. we went to fl to see****parents 5/16-5/25.
1	havent been on this thing in a while so im basically going to spend some time twitter stalking i suppose.
0	i know i do, but my internet is sooo bad it would load wordpress, i tried today, with no luck!
1	of course! and hopefully you can stay for more than just dinner.
0	defo failed my gcse maths
0	hates him bullshit! (angry)
0	did new iphone os update, bluetooth stereo workaround no longer works.
0	awesome. i will let you know after i watch it. oh, they didn not have any buttons last night.
1	hello my twitter world thanks for the ff =] i iz hungry!
0	checking to see if rebecca has messaged me back. no im about to get on a plane to ireland just to kick her butt
1	vague emo (ve)= followers current (fc) minus x [fc-24hrsleave], after adjusting for seasonal variations
0	found a piece of a snap ring changing oil in my friends hot rod. over 4k $ in the eng. super lame
0	because it has.
1	if this is my sister you are talking about she better not be tired for work tomorrow or i will kick her ass. and yours.
1	damn. can not put off this writing of docs any longer. if i push on i might get some time later to do coding.
0	good morning all tweeters, yes i knew this weekend is weather wouldn not last. so sad back to another 3 days of rain and thunderstorms
0	i am getting braces july 8th any1 have any tips 4 me!
0	i wish it would stop raining its i have to walk in it soon
0	i don not even know what i did he just started being mean
0	bought a wii, no games and it is not playing dvds
1	its okkk aim me!
0	how is japan! i miss you guys. come visit me again soon!! xoxo
0	hoping that optus have fixed my phone properly. not holding my breathe though, 'cause it sounds like they have just updated the firmware
0	looking for the article stumbled on this gem from yahoo answers:
1	racking beer tuesday
0	no. no, he does not.
1	back in the office. actually very ready to be here and start earning that next vacation so much to do!
1	im actually not looking for it. ha! but if i happen to stumble upon it, ill let u know.
0	just got home from my brothers house found out that the pool was closed for today but will be going swimming tomorrow hopefully
1	e to all my new followers i will catch up with you this week.promise
1	good morning shug
1	tracee! if e to philli you e up to baguio city. we never have good concerts here, it would be a miracle!
1	lady gaga inspires me to be fabulous every day
0	haha i know it sounds weird! ugh its 9:24. my dad woke me up for some strange reason. we have all day! im so tired!
0	listening to the back hoe loader replace the dead trees in our neighborhood.and pumpkin who is not napping
0	morning! about 2 hit the beach. just booked tour &amp; luau 4 mon &amp; tues. time to sightsee! sry to hear weather sucks there
1	i just took the cheese quiz that is on your front page. i am brie cheese!
0	wanted to go to alterra on prospect to do some work, then realized the soulstice is today.
0	just remembered why she is so lame
0	good morning. homework and shit today.preparing for school tomorow
1	im having a party in my room by myself. anyone wanna join!!
1	good morning! waking up to a rainy sunday here - enjoy your day!
0	lol ;) the job hunt is going ok i guess. 2 diff. interviews and no deal yet
0	doesn not wanna serve tex mex today
1	it looks great, elizabeth.
1	:o to bed i go. two more shifts. one day off.then four more shifts . and wait two whole days off ! wtf!
0	what time r u going in to skl tomorrow! done enough revision! lol, i have got to go over chem and child dev tonight.
0	eyes are closing on me i got sunburnt today - nose looks like a lobster time to pass out
0	i am with you - i woke up thinking it was friday - extreme disappointment when i realized it was only wednesday
1	i love all of their music.
1	a visitor translated my blog into russian, nice.
1	cuz ya keep tryin to make charust happen! ill pass on sitting by you haha
1	im gonna move to kansas to start my modeling career! apparently thats where e true!
0	my chicken miley died yesterday even though its just i chicken i really miss her and how is your ear are you ok now!
1	hello hon you can use my avatar anytime ok! hugs from brazil &lt;---ok, thanks
0	i miss grlz nght
1	yes! they are playing demi later on switch
1	going to bed at 4 am after a so you think you can dance marathon. seriously, i don not know what i was thinking. sleep tight, twitterers!
1	watching blue crush. yay
0	me too. but i will visit and you will too lol
1	pls pls pls, no results!
1	im following paris hilton! shes huge.
1	smith is olde bar. along with &amp; . watching &amp; make sweet sweet music.
0	i think it is a very early to bed night tonight. having a hard time keeping my eyes open and it is only 545pm.
0	i wasn not that bad was i!!! ill just have e up with more impressive stuff! :p ; ) xxxxx
0	feeling sentimental and missing my grandpa. he would have loved to see all of the little kids playing together. not the same w/out him.
1	they didn e out of nowhere, they have been around for a while and they are good, buddy
0	my last tooth hurts. could it be wisdom tooth!
0	the internet is hating me. night i s'pose.
0	: manita then let me know ---- omg he is sooooo handsome - why can not we find guys like that anymore
0	, *neckrub*. total sympathy. i get neck aches like that all the time - nothing i try helps.
0	all my music was erased and while i was adding them again, puter messed up.
0	it waz chocholate chip and co0ki3 dough . .
1	+icu+ the countdown begins! this friday @ the dragonfly! icu on da dancefloor
0	it is a sad day. my hat of 3 years was lost to the river
0	got home last night at 1am from night time archery tournament. wheels came off for most of the kids. gotta get back to fundamentals.
1	funyuns! woop woop! they are awesome!
1	is back home. ahaha the exams weren not that bad. only two left. and they are bludgy ones
0	just got back from ps and no one at home
1	goode afternoon beautiful lady
1	thanks! i am totally excited about it
1	ty sweetheart
1	i miss you too. so much. my fb status shows how much i miss you gerty. i will be close to you soon.
0	left my ipod home i have to be subjected to loud mouth people today
1	e to the rest of your life
0	why does flying take so much out of me! so wanna crawl back into bed!
0	i stop twittering going for a walk with tony i dont feel so good bye sorry if i dont reply i just cant not now atleast
0	i got mine! ligitamatly too it is already being shared (not by me of course) love the credits. so sweet. you are so amazing.
1	just had what turned out to be a heath ledger night, watched a knight is tale and 10 things i hate about you. was pretty cool actually.
1	sorry we had internet problems yesterday. todays deals posted, and if there is anything you are looking for let me know
1	ha, i am glad you appreciated my taking over his name. apparently it is untrue, but i dont care. hooray beer.
0	omg, to chorandooo !
0	one 60miles closer 2 home, and pays a few $ is more (closer 2 what i was making) before getting laid off from a place i was @ for 8+ yrs
0	. maybe and would be nice, so i don not get the promblem.
0	i hate crying.im going to bed.im so sick of school. 1 week left.but finals.i really hate finals!
1	at home mad at my car because it is having water problems. but overall just fine!
1	gonna give either poison or some kind of hired trunk drill/winch thing a go tomorrow
0	i have to actually agree with you. at my school its the end of the year and our teacher still gives us work. uhhhh
0	is missing my time, my friends, my teachers n all of the things happen in daniel bahureksa ruang 1.
1	woah! now that is something special and don;t you try to photograph yourself driving home on the enfield! ;-)
0	i join the bad joke-athon: a midget goes to the doctors and says &quot;doctor, everytime it rains my froufrou hurts.&quot;
0	n lucky u.i have class @ 840
0	i am taking classes 2nd summer session i am only off til july 6th. what week u going!
1	jus now gettin up on this twitter thing.looks wackkk to me!
1	yum. japanese sounds good right about now.
0	we are heading to ruby tuesdays for lunch; nice. too bad they aren not picking up the tab though.
0	nosa mozzies. i am scared
0	none of the guys can see ur tweets to them unless u take ur profile off private
1	the thing is that i look like russell brand with shorter hair in the morning, but with chubby cheeks, i got dimples
1	is terrorising town again with jack: saturday coffee shops almost like old times with my bro.
0	accounting class.ughh
1	ing yours now. ok!:]
1	thank you, mama. i am going to go about my day like i don not feel it.
1	i love your face off! &lt;3
1	headin' out to sullivans island for a meeting on the beach.
1	nope, just something i thought i would start doing for the site. i enjoy doing it &amp; the fact that you enjoy reading it is a bonus!
1	haha made you smile!
0	i am getting my stuff ready for school tomorrow
1	listening to leave the pieces by the wreckers
1	on the phone with the amazing hope bertram! this replaces my morning coffee back in a few.
1	i just made my own tea but now i feel sick. oops lmao.
0	oh! lol. you e! you e with us.
0	tummy ache. i needa practice driving! and i most def needa work out and get a mutha fuckin tan ha
0	awake since 5am. hella early, tlking to this asshole.
1	good luck! if i can get out of fy bed i might play v deep stack too
0	oh okay i thought you were ditching me
1	thanks for the link! there are great pictures in it, the best i could find was on flickr. anyway, i will explain via dm.
0	otw to bandung without her now.
1	lol on bus with the missus!
1	yeah, and i saw up in 3d yesterday. it was such a cute movie! the 3d was a little dizzying at first though.
1	sorry to hear that you didn not get vp, but congrats on getting the next best office!
1	wanna coooool myself
0	: now i have steered you to a nightmare.sorry about that arden
1	i am going gaga over adobe premier! hahaa, cannot wait to make effects
1	ahh; twitter is my new bestfriend.
1	i can very much see where you ing from with the jarvis cocker thing
0	i must have been bitten by some mosquitoes. my arm looks like it was attacked by them.
1	brooke is here no and aunt sandy.
0	by the time i ment the post would be like a day or two old. it would never get read by anyone but me
0	no mail for me today
1	awesome. i am hopping the next flight over.! tell em to set an extra plate.! lol
0	shitface, my uncle ing back from the pi soon damn it, it was fun while it fuckin lasted.
1	it is all about skin care!
0	sorry i missed your text. i just finished recording a song and saw it. i would have taken some cookies
1	knocked up
0	home from doctor. *sigh* just wanna be healthy, don not want more meds.
0	yeah i know
1	look, mom! i used the word &quot;iterated&quot; in a post.
1	what a beautiful day in the neighborhood sunshine!
0	also, no, being like dr dre is not a good thing. i was also shooting that one down.
0	only 7 more weeks of work! yippy
0	doesn not sound good hun. lemsip ahoy!
0	is it open today! it is a national day here.well not for all panies.arghhhh why do i have to work today!
1	fair enough, mister. either way, vamos a estar aquí hasta tarde, so you could arrive later.
1	have a safe flight! bet ya miss your babies.
1	re twitter would for cold altanta: suggest ya negotiate deal in which calories are left in cyber space!
1	lmao i was waitin for u to see that pic!
1	aly &amp; aj new album this summer. yay!
0	10-day forecast says chance of thunderstorms every single day
0	i already feel guilty
1	arrgh, stop it! you are getting as bad as &amp; his hammock lounging activities from a couple of weeks back!
1	wait until i am back doy
0	hey wats up im on my way 2 arkansas right now! yay! i cant wait driving in the car is a drag though!ugh%%
1	hopefully getting a new camera today. my reward for straight a is.
0	ahhh, sundays! lazy sundays! although we still have a huge mess to pickup after the 2x b-day party from yesterday #slacking
1	good morning judit, thank you so much
0	oh no! i hope the timing works out for you! what dates are you over here!
0	home from lisa and paul is wedding, downloading cards, drinkin' beer. no wedding tomorrow, cancellation
1	awesome maybe. mikey would probably appreciate coke zero cans, since hes turned on my that sort of thing lol
1	off to the night market for some meat on a stick! good food, good friends, what more could you want.
1	ugghhh let is try n try, i sent her a mssg 4 u.
0	i wish i could have been there! i am bummed hope you had a good time!
1	in santa cruz with the fam bam
1	hello twipple ! i would appreciate it if you visit our website and give us your opinion if you like it or not
0	union was just ok , foam was it worth it ! lol
0	--&quot;it is not 'we were going to.'&quot; it is 'we was going to.&quot; (actual quote overheard today at the office. grammatical fail! )
1	going to see 17 again!
0	i have just saw the final episodes of &quot;prison break&quot;. it really was the end.
0	that was my entire week! i didn not get to design once while at my graphic design job, only at home doing freelance. sad.
1	playing crossfire. this game never gets old.
0	seymour has still too much snow.aborting hike to dog mountian.
0	jeeeeeeez! some tickets are so expensive, looks like that one is off the summer list too
1	its my current contender for best film of 2009. does that count and/or help any! hopefully my liking it is a good thing. ;)
0	i want a follower like jesus
1	ah you are going in prime black fly season! will you going to algonquin or even further north!
1	- pho for lunch, burger for dinner. my guilty pleasure
0	my replies are soooo slow!
0	had such a great fun day with my buddddddy now driving home
0	aww. night xoxox. everyone is gone now :\
0	lost all my audio files for my audio/video class i hate children.
0	chay con ram roi. may chay cham qua'.
1	couldnt have said it better myself
1	i prefer fossil fuel
0	head hurts. tylenol pm ain not doing it is job either
0	its not that - i just have so much to do. laundry wont wash itself.
0	i have 2500 words to write in 5 hours
0	dude that sucks hopefully your boss doesnt throw the book at you because of him not getting it done
1	i hope i can. the only thing i need are the blink tickets and then im definitly going
0	should have been wookiees. oh the woes of blatant marketing!
0	i think i am the only one still with a first generation iphone. #whoneedsanewiphonewhenthisoneworks
0	time to clear the blogroll - a few faithtfuls have e tired
0	checking out all the cool things to do in florida whilst being bored in cayman on a rainy bank holiday
0	woww i never update this but hookah makes my head hurt too bad woodlands tomorrow bright and earlyyy :/ night twits
1	haha looove is a beautiful thing ill leave u wit that lmao
1	starttrek was/is the shiz i give to a 15 on a 1-10 .okay time 4 bed sleep tight yall
1	trying learn how to use this but learning as i go wish me luck!
0	so much for that nap
1	too bad for ya~ lol
1	yeahh thay are haha x
1	okaaaaaaaaay, so i am on twitter now. lol i hope this is all that it is cracked up to be.
1	- this is about 1977. check out those shoes.
0	so tired. and wishing i could text him
0	wishes he had his bike over this long weekend
0	i wish i was going to skool tomorrow
0	downside of itunes. missing linear notes
0	adam said i run like carl fredrickson aka the old man from up
1	wish me luck for my (may-soon-to-be) new job
0	im on the phone with her shes dying. cookie: shes about to cry lololol
1	1kg steaks tonite luke imma make u my bitch
1	midnight. lvtt. so. freakin. stoked.
1	- wow you are crazy! in a good kind of way
0	wow, immature much.the forum has e so hateful it is sad really i like our little world
1	i thought my skin was dirty, but i actually tanned!
1	one more night out in line.
1	is off to the local pub to meet the team then we have a pool match at 8pm go the shovels inn pool team!
0	woke up from listening to the beatles, and still have the stupid headache. ugh!
0	last time i switched simple hosting, i lost parts of my php/sql for over a week. had to hire a programmer to fix it all
1	i am seeking a well established itunes application developer for a significant project. need work! i have a checkbook
0	btw, i obviously i meant &quot;songs&quot; not &quot;sings.&quot; one is a noun and the other, a verb. i will reprimand myself later
1	bleaching hairr yay, it is gonna turn out so good
1	hi i think you should make new e out faster please
1	spotify day pass, eh! sounds like a plan for sometime
1	right n0w, im on my bed egotastic r0cks!hahaha.
1	someones burning! i see smoke
1	our electric bill is usually around $35. do we get a prize too!
0	good, just i guess i am not particularly good municating w/people at times! i hope i can be forgiven!! .
1	i hope u woke up with a smile today
0	it was aaaaaamazing! i loved it! i must do it again! sky diving next! i am sick now though! very very sick
1	someone gave me a cat. he is adorable. i named him mraz.
0	eurgh, i hate these trains, they always smell of pee
1	free to download smileys and avatars, free to read and puter, security, and photoshop tutorials, why!.why not
0	i wish iwasnt here im think'n &amp; being around her making me confused i need a hero
0	mikor lesz már friday night lights!
1	had a great work out today! feeling strong
0	no he is leaving. today was his last day. tear tear.
1	lol a will b iight
1	at the place trying to get a house.
1	decided on 10801 tattoos with kimbo &amp; , after much discussion. so stoked!
1	e to twitter nesyaaa.
0	now. i want a kit kat!
1	thanks! glad you are enjoying tungle
1	installing windows 7 rc now. impressed with ms after i spent a week with ie8 and it crashed less than a 100 times .
1	we goldens never stink
1	slumdog millionaire is a hell good movie i loved it
1	does anyone want to go to a concert august 2nd!
1	that last tweet was nasty! hopefully everyone reads it. jk
0	woooow i go to dinner toooo and im soooo hungry now! and b4 i go to david guetta show without kelly rowland
0	is literally baking in the sun! ahh i am sooo dark!
1	at a wedding - i don not know anyone other than my wife i feel like owen wilson in wedding crashers
0	i totally just wrote a song! like i wish i could share it with someone but everyones busy
0	i abhor the bnp but love democracy. bnp now have a mandate, however small. petition can not change that, unfortunately
0	nap, then work
0	not old enough yet
0	me because i might not have enough money for college!
0	lol i want darth vader on my list!
1	oh! paraluman and silent sanctuary at myx live tonight. yeah. can`t wait to see them.
0	exam then by the time i was done the buses were leaving so i had to walk home
0	i wish i could! i can not have one in my apartment
1	yeah i know :/ not got as much to do as i thought though what a joke! can not believe how long its taking! xxxxx
0	currently we do not - we are starting to get more and more requests for the mac version though, so you never know!
0	ing up with evil ideas with . gonna be so sad to leave tomorrow morning.
0	last minute packing! i got pride &amp; prejudice and zombies and the family by puzo. wanted more but books are so expensive!
0	got a mosquito bite in the morning i hate them!
0	had a nice visit last night from a boy with voracious stubble, does anyone know what to do about a raw chin! haha
0	i want to go too. but mine doesnt want me to go without him.and there is always an excuse why we cant
1	off to see nybie coz it is her burdey
0	i would like some sexy dreams too, but all i am having is nightmares about the science center
1	not sure playing withn this twitter thing
1	2001 was super vet
0	my whole body is so sore. i am in desperate need of a back massage.
0	i took that quiz and deffinatle not too happy.but at least its still a cute one lmao joe mac
1	i want to dream about a specific red head tonight
1	i &lt;3 my blackberry
0	on me way to london soon, meetings all day.
1	got his twitter back
1	it is ok so far, and the more of this wine i drink the better it will e.
1	great to hear - email us pics and we will put your pup up on our blog
1	narrr, can not be doing with any of them. i will stick with my inintendo ds
0	aww, that sucks.i am sry
1	now now, it is sunday! lol
1	hahaha yes i did have it, on sunday i tried it. i didn not tell u! lol well i put too much rum so i turned it into a smoothie!
0	im really tired, just want to go see my boyfriend
0	happy fathers day! it is still too hot to shoot some hoops
1	apples to apples with stav and bobbins. yay fun.
1	its okay not to know anything about golf!
1	go to settings. then click pictures tab. you can upload the photo. for name go to account tab and change the user name.
1	i can not stop making rach is fennel pepper pasta! it is the best pasta dish e-v-e-r! thanks rach
1	signed up for gl.net tomorrow night, wondering if has written his presentation yet.
0	awh i hate when my battry dies ooh what did you have! xx
0	im ready to go home. jk! but were gonna leave in like 5 minutes.
1	it is looking good for my sister. the data ing from the harddisk 1 disaster avoided.
0	i have toothache.it hurts
0	back soon, need to run to the shops and cut the grass
1	i am seeing you july 9th, you should say hi to me.
1	oops i said moose i met mosse.anyway you got the link!
1	wow. you guys have really outdone yourself. awesome. but too bad i have to wish my summer away
1	just chillin w/ my sibs! help me!
1	aw that is not good i hope it is better now
0	going for breakfast, im troubled
1	check it! - / still all go at / yus!
1	hey ho sopitup dankeee
1	getting it later today
1	is listening to time and wasted bullets by children 18:3. they be rock
1	haha those were the days! you should sell some of your oldskool mixtapes on ebay!
1	that is great news! *hugs*
1	because we are rad. oooh, shin tweeted too i hope theyre having fun in france haha
0	ahh the preformance today was horrible.
1	today is 6th june
0	lost five crowns by 1 point!
0	hungry and nausious
0	french onion soup is full of delicious win. also, i miss college so badly
1	is gettin ready 2 go 2 her dadz house
0	i am so sorry love! you don not need to be around people like that
1	ya so i suck but its coo i am inlove with scruff man green shirt dude who gave us our shoes ahahah.
0	#squarespace, one in a billion! more like one in infinity
